일시,지점명,평균습도(%rh),최저습도(%rh)
20200122,인천,53.4,28.0
20200123,인천,60.6,41.0
20200124,인천,65.4,52.0
20200125,인천,66.9,57.0
20200126,인천,55.3,34.0
20200127,인천,56.1,38.0
20200128,인천,55.5,39.0
20200129,인천,61.0,42.0
20200130,인천,59.9,35.0
20200131,인천,73.5,54.0
20200201,인천,67.3,53.0
20200202,인천,55.0,36.0
20200203,인천,50.5,26.0
20200204,인천,60.6,43.0
20200205,인천,43.6,30.0
20200206,인천,45.1,32.0
20200207,인천,54.4,25.0
20200208,인천,53.9,36.0
20200209,인천,58.3,34.0
20200210,인천,55.8,28.0
20200211,인천,43.5,20.0
20200212,인천,78.4,37.0
20200213,인천,88.6,73.0
20200214,인천,79.5,54.0
20200215,인천,77.4,41.0
20200216,인천,79.4,59.0
20200217,인천,64.4,52.0
20200218,인천,48.6,31.0
20200219,인천,60.4,43.0
20200220,인천,73.1,57.0
20200221,인천,73.4,46.0
20200222,인천,69.1,43.0
20200223,인천,55.3,36.0
20200224,인천,60.5,49.0
20200225,인천,77.5,60.0
20200226,인천,67.0,47.0
20200227,인천,65.6,45.0
20200228,인천,85.0,60.0
20200229,인천,81.3,57.0
20200301,인천,84.1,71.0
20200302,인천,58.8,42.0
20200303,인천,63.5,39.0
20200304,인천,60.9,44.0
20200305,인천,55.6,36.0
20200306,인천,53.5,20.0
20200307,인천,49.4,24.0
20200308,인천,54.3,26.0
20200309,인천,52.5,26.0
20200310,인천,78.1,52.0
20200311,인천,47.5,30.0
20200312,인천,60.5,28.0
20200313,인천,45.0,18.0
20200314,인천,58.6,40.0
20200315,인천,50.4,21.0
20200316,인천,54.1,26.0
20200317,인천,76.0,60.0
20200318,인천,57.4,25.0
20200319,인천,63.8,44.0
20200320,인천,55.9,38.0
20200321,인천,72.1,57.0
20200322,인천,44.3,16.0
20200323,인천,54.9,31.0
20200324,인천,43.9,25.0
20200325,인천,52.6,21.0
20200326,인천,61.3,34.0
20200327,인천,60.4,33.0
20200328,인천,26.5,13.0
20200329,인천,45.6,27.0
20200330,인천,52.6,21.0
20200331,인천,54.9,26.0
20200401,인천,40.1,21.0
20200402,인천,61.8,39.0
20200403,인천,69.8,33.0
20200404,인천,40.4,12.0
20200405,인천,33.9,17.0
20200406,인천,58.0,27.0
20200407,인천,70.1,35.0
20200408,인천,38.0,16.0
20200409,인천,56.4,31.0
20200410,인천,61.4,38.0
20200411,인천,74.6,42.0
20200412,인천,56.6,33.0
20200413,인천,40.1,13.0
20200414,인천,59.0,29.0
20200415,인천,47.3,23.0
20200416,인천,42.5,23.0
20200417,인천,80.5,43.0
20200418,인천,75.5,46.0
20200419,인천,77.8,44.0
20200420,인천,72.9,56.0
20200421,인천,45.6,27.0
20200422,인천,44.6,33.0
20200423,인천,49.6,27.0
20200424,인천,62.5,45.0
20200425,인천,58.6,41.0
20200426,인천,44.3,22.0
20200427,인천,56.6,27.0
20200428,인천,63.4,41.0
20200429,인천,52.3,29.0
20200430,인천,63.1,38.0
20200501,인천,82.1,62.0
20200502,인천,86.3,71.0
20200503,인천,74.4,45.0
20200504,인천,76.0,58.0
20200505,인천,77.0,53.0
20200506,인천,54.3,25.0
20200507,인천,33.0,16.0
20200508,인천,37.0,11.0
20200509,인천,94.9,80.0
20200510,인천,91.8,77.0
20200511,인천,71.8,52.0
20200512,인천,71.0,48.0
20200513,인천,56.6,38.0
20200514,인천,28.5,13.0
20200515,인천,82.8,28.0
20200516,인천,93.5,80.0
20200517,인천,85.1,62.0
20200518,인천,79.9,46.0
20200519,인천,71.0,47.0
20200520,인천,61.0,46.0
20200521,인천,59.6,41.0
20200522,인천,67.8,52.0
20200523,인천,67.5,46.0
20200524,인천,90.1,74.0
20200525,인천,89.6,73.0
20200526,인천,85.1,56.0
20200527,인천,74.6,55.0
20200528,인천,69.3,38.0
20200529,인천,69.5,47.0
20200530,인천,59.8,32.0
20200531,인천,69.9,43.0
20200601,인천,78.4,55.0
