일시,지점명,평균습도(%rh),최저습도(%rh)
20210216,양평,60.0,30.0
20210217,양평,40.5,26.0
20210218,양평,43.6,30.0
20210219,양평,67.9,46.0
20210220,양평,56.9,19.0
20210221,양평,62.3,35.0
20210222,양평,59.0,21.0
20210223,양평,28.1,17.0
20210224,양평,41.8,9.0
20210225,양평,57.3,32.0
20210226,양평,48.1,15.0
20210227,양평,54.1,29.0
20210228,양평,60.1,33.0
20210301,양평,94.6,55.0
20210302,양평,74.0,47.0
20210303,양평,77.8,46.0
20210304,양평,77.3,48.0
20210305,양평,72.8,37.0
20210306,양평,69.3,50.0
20210307,양평,61.1,38.0
20210308,양평,62.4,14.0
20210309,양평,57.1,23.0
20210310,양평,57.0,19.0
20210311,양평,55.9,25.0
20210312,양평,65.5,49.0
20210313,양평,65.9,36.0
20210314,양평,72.1,47.0
20210315,양평,70.0,33.0
20210316,양평,50.8,20.0
20210317,양평,55.1,21.0
20210318,양평,55.8,32.0
20210319,양평,49.3,32.0
20210320,양평,76.9,45.0
20210321,양평,61.6,37.0
20210322,양평,47.1,26.0
20210323,양평,63.0,22.0
20210324,양평,62.6,27.0
20210325,양평,61.1,31.0
20210326,양평,54.3,11.0
20210327,양평,74.1,33.0
20210328,양평,94.4,84.0
20210329,양평,55.0,25.0
20210330,양평,52.0,17.0
20210331,양평,52.4,11.0
20210401,양평,41.6,14.0
20210402,양평,38.8,23.0
20210403,양평,85.8,63.0
20210404,양평,62.1,45.0
20210405,양평,52.0,16.0
20210406,양평,51.4,23.0
20210407,양평,52.8,17.0
20210408,양평,42.6,16.0
20210409,양평,46.4,23.0
20210410,양평,52.6,32.0
20210411,양평,52.9,18.0
20210412,양평,77.5,32.0
20210413,양평,70.3,43.0
20210414,양평,52.8,24.0
20210415,양평,61.1,19.0
20210416,양평,67.4,48.0
20210417,양평,74.3,28.0
20210418,양평,63.4,36.0
20210419,양평,62.8,26.0
20210420,양평,59.4,28.0
20210421,양평,50.6,12.0
20210422,양평,43.8,16.0
20210423,양평,44.5,19.0
20210424,양평,44.4,12.0
20210425,양평,53.1,28.0
20210426,양평,49.6,21.0
20210427,양평,63.4,41.0
20210428,양평,60.0,25.0
20210429,양평,63.0,36.0
20210430,양평,83.9,62.0
20210501,양평,85.8,62.0
20210502,양평,67.5,35.0
20210503,양평,64.1,25.0
20210504,양평,87.0,66.0
20210505,양평,59.1,21.0
20210506,양평,55.9,30.0
20210507,양평,65.9,32.0
20210508,양평,64.9,34.0
20210509,양평,53.9,22.0
20210510,양평,81.6,60.0
20210511,양평,61.0,29.0
20210512,양평,53.3,28.0
20210513,양평,64.1,33.0
20210514,양평,68.5,30.0
20210515,양평,90.9,71.0
20210516,양평,100.0,98.0
20210517,양평,97.6,85.0
20210518,양평,77.8,51.0
20210519,양평,65.8,26.0
20210520,양평,70.1,43.0
20210521,양평,90.1,66.0
20210522,양평,72.4,46.0
20210523,양평,70.9,47.0
20210524,양평,57.0,20.0
20210525,양평,74.6,45.0
20210526,양평,71.0,39.0
20210527,양평,90.8,78.0
20210528,양평,89.0,72.0
20210529,양평,79.4,53.0
20210530,양평,78.0,37.0
20210531,양평,86.4,62.0
20210601,양평,80.5,53.0
20210602,양평,68.3,37.0
20210603,양평,88.6,63.0
20210604,양평,72.9,33.0
20210605,양평,76.6,44.0
20210606,양평,76.8,50.0
20210607,양평,84.5,58.0
20210608,양평,70.1,34.0
20210609,양평,68.9,34.0
20210610,양평,75.5,39.0
20210611,양평,88.1,66.0
20210612,양평,77.0,46.0
20210613,양평,71.5,36.0
20210614,양평,73.0,44.0
20210615,양평,78.8,61.0
20210616,양평,63.1,45.0
20210617,양평,77.4,64.0
20210618,양평,92.5,78.0
20210619,양평,74.9,47.0
20210620,양평,73.4,38.0
20210621,양평,67.5,38.0
20210622,양평,75.3,48.0
20210623,양평,85.3,52.0
20210624,양평,77.0,48.0
20210625,양평,74.0,46.0
20210626,양평,88.4,68.0
20210627,양평,76.9,52.0
20210628,양평,80.6,56.0
20210629,양평,83.1,53.0
20210630,양평,82.3,58.0
20210701,양평,74.5,44.0
20210702,양평,72.8,47.0
20210703,양평,80.4,59.0
20210704,양평,98.3,88.0
20210705,양평,87.4,66.0
20210706,양평,85.9,62.0
20210707,양평,88.6,71.0
20210708,양평,86.5,60.0
20210709,양평,85.1,65.0
